district,municipaly,year,week,outlier_score
Schwaz,Eben am Achensee,2020,2,0.05289553850889206
Schwaz,Hippach,2020,3,0.05289553850889206
Schwaz,Gerlosberg,2020,4,0.05289553850889206
Kufstein,Langkampfen,2020,5,0.7735317349433899
Kufstein,Mariastein,2020,6,0.05289553850889206
Lienz,Sillian,2020,7,0.05289553850889206
Lienz,Anras,2020,8,0.05289553850889206
Kitzbühel,Waidring,2020,11,0.05289553850889206
Imst,Imst,2020,12,0.05289553850889206
Imst,Mötz,2020,13,0.05289553850889206
Reutte,Höfen,2020,9,0.05289553850889206
Reutte,Forchach,2020,10,0.05289553850889206
Landeck,Zams,2020,14,0.05289553850889206
Landeck,Kaunertal,2020,15,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,16,0.05289553850889206
Innsbruck-Land,Birgitz,2020,17,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,1,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,2,0.05289553850889206
Schwaz,Eben am Achensee,2020,3,0.05289553850889206
Schwaz,Hippach,2020,4,0.05289553850889206
Schwaz,Gerlosberg,2020,5,0.05289553850889206
Kufstein,Langkampfen,2020,6,0.05289553850889206
Kufstein,Mariastein,2020,7,0.05289553850889206
Lienz,Sillian,2020,8,0.05289553850889206
Lienz,Anras,2020,9,0.05289553850889206
Kitzbühel,Waidring,2020,16,0.05289553850889206
Imst,Imst,2020,17,0.05289553850889206
Imst,Stams,2020,1,0.05289553850889206
Reutte,Höfen,2020,14,0.05289553850889206
Reutte,Forchach,2020,15,0.05289553850889206
Landeck,Grins,2020,2,0.05289553850889206
Landeck,Faggen,2020,3,0.05289553850889206
Innsbruck-Land,Navis,2020,4,0.05289553850889206
Innsbruck-Land,Völs,2020,5,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,6,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,7,0.05289553850889206
Schwaz,Eben am Achensee,2020,8,0.05289553850889206
Schwaz,Hippach,2020,9,0.05289553850889206
Schwaz,Gerlosberg,2020,10,0.05289553850889206
Kufstein,Langkampfen,2020,11,0.05289553850889206
Kufstein,Mariastein,2020,12,0.05289553850889206
Lienz,Sillian,2020,13,0.05289553850889206
Lienz,Anras,2020,14,0.05289553850889206
Kitzbühel,Waidring,2020,13,0.05289553850889206
Imst,Imst,2020,14,0.05289553850889206
Imst,Mötz,2020,15,0.05289553850889206
Reutte,Höfen,2020,11,0.05289553850889206
Reutte,Forchach,2020,12,0.05289553850889206
Landeck,Zams,2020,16,0.05289553850889206
Landeck,Kaunertal,2020,17,0.05289553850889206
Innsbruck-Land,Navis,2020,1,0.05289553850889206
Innsbruck-Land,Völs,2020,2,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,3,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,4,0.05289553850889206
Schwaz,Eben am Achensee,2020,5,0.05289553850889206
Schwaz,Hippach,2020,6,0.05289553850889206
Schwaz,Gerlosberg,2020,7,0.05289553850889206
Kufstein,Langkampfen,2020,8,0.05289553850889206
Kufstein,Mariastein,2020,9,0.7274191975593567
Lienz,Sillian,2020,10,0.05289553850889206
Lienz,Anras,2020,11,0.05289553850889206
Kitzbühel,Waidring,2020,14,0.05289553850889206
Imst,Imst,2020,15,0.05289553850889206
Imst,Mötz,2020,16,0.05289553850889206
Reutte,Höfen,2020,12,0.05289553850889206
Reutte,Forchach,2020,13,0.05289553850889206
Landeck,Zams,2020,17,0.05289553850889206
Landeck,Faggen,2020,1,0.05289553850889206
Innsbruck-Land,Navis,2020,2,0.05289553850889206
Innsbruck-Land,Völs,2020,3,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,4,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,5,0.05289553850889206
Schwaz,Eben am Achensee,2020,6,0.05289553850889206
Schwaz,Hippach,2020,7,0.05289553850889206
Schwaz,Gerlosberg,2020,8,0.05289553850889206
Kufstein,Langkampfen,2020,9,0.05289553850889206
Kufstein,Mariastein,2020,10,0.05289553850889206
Lienz,Sillian,2020,11,0.05289553850889206
Lienz,Anras,2020,12,0.05289553850889206
Kitzbühel,Waidring,2020,15,0.05289553850889206
Imst,Imst,2020,16,0.05289553850889206
Imst,Mötz,2020,17,0.05289553850889206
Reutte,Höfen,2020,13,0.05289553850889206
Reutte,Forchach,2020,14,0.05289553850889206
Landeck,Grins,2020,1,0.05289553850889206
Landeck,Faggen,2020,2,0.05289553850889206
Innsbruck-Land,Navis,2020,3,0.05289553850889206
Innsbruck-Land,Völs,2020,4,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,5,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,6,0.05289553850889206
Schwaz,Eben am Achensee,2020,7,0.05289553850889206
Schwaz,Hippach,2020,8,0.05289553850889206
Schwaz,Gerlosberg,2020,9,0.05289553850889206
Kufstein,Langkampfen,2020,10,0.05289553850889206
Kufstein,Mariastein,2020,11,0.7274191975593567
Lienz,Sillian,2020,12,0.05289553850889206
Lienz,Anras,2020,13,0.05289553850889206
Kitzbühel,Brixen im Thale,2020,3,0.05289553850889206
Imst,Obsteig,2020,4,0.05289553850889206
Imst,Stams,2020,5,0.05289553850889206
Reutte,Reutte,2020,1,0.05289553850889206
Reutte,Zöblen,2020,2,0.05289553850889206
Landeck,Grins,2020,6,0.7735317349433899
Landeck,Faggen,2020,7,0.05289553850889206
Innsbruck-Land,Navis,2020,8,0.05289553850889206
Innsbruck-Land,Völs,2020,9,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,10,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,11,0.05289553850889206
Schwaz,Eben am Achensee,2020,12,0.05289553850889206
Schwaz,Hippach,2020,13,0.05289553850889206
Schwaz,Gerlosberg,2020,14,0.05289553850889206
Kufstein,Langkampfen,2020,15,0.05289553850889206
Kufstein,Mariastein,2020,16,0.05289553850889206
Lienz,Sillian,2020,17,0.05289553850889206
Lienz,Gaimberg,2020,1,0.05289553850889206
Kitzbühel,Waidring,2020,17,0.05289553850889206
Imst,Obsteig,2020,1,0.05289553850889206
Imst,Stams,2020,2,0.05289553850889206
Reutte,Höfen,2020,15,0.05289553850889206
Reutte,Forchach,2020,16,0.05289553850889206
Landeck,Grins,2020,3,0.05289553850889206
Landeck,Faggen,2020,4,0.05289553850889206
Innsbruck-Land,Navis,2020,5,0.05289553850889206
Innsbruck-Land,Völs,2020,6,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,7,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,8,0.05289553850889206
Schwaz,Eben am Achensee,2020,9,0.05289553850889206
Schwaz,Hippach,2020,10,0.05289553850889206
Schwaz,Gerlosberg,2020,11,0.05289553850889206
Kufstein,Langkampfen,2020,12,0.05289553850889206
Kufstein,Mariastein,2020,13,0.05289553850889206
Lienz,Sillian,2020,14,0.05289553850889206
Lienz,Anras,2020,15,0.05289553850889206
Kitzbühel,Brixen im Thale,2020,1,0.05289553850889206
Imst,Obsteig,2020,2,0.05289553850889206
Imst,Stams,2020,3,0.05289553850889206
Reutte,Höfen,2020,16,0.05289553850889206
Reutte,Forchach,2020,17,0.05289553850889206
Landeck,Grins,2020,4,0.05289553850889206
Landeck,Faggen,2020,5,0.9986892938613892
Innsbruck-Land,Navis,2020,6,0.05289553850889206
Innsbruck-Land,Völs,2020,7,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,8,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,9,0.05289553850889206
Schwaz,Eben am Achensee,2020,10,0.05289553850889206
Schwaz,Hippach,2020,11,0.05289553850889206
Schwaz,Gerlosberg,2020,12,0.05289553850889206
Kufstein,Langkampfen,2020,13,0.05289553850889206
Kufstein,Mariastein,2020,14,0.05289553850889206
Lienz,Sillian,2020,15,0.05289553850889206
Lienz,Anras,2020,16,0.05289553850889206
Kitzbühel,Brixen im Thale,2020,2,0.05289553850889206
Imst,Obsteig,2020,3,0.05289553850889206
Imst,Stams,2020,4,0.05289553850889206
Reutte,Höfen,2020,17,0.05289553850889206
Reutte,Zöblen,2020,1,0.05289553850889206
Landeck,Grins,2020,5,0.05289553850889206
Landeck,Faggen,2020,6,0.05289553850889206
Innsbruck-Land,Navis,2020,7,0.05289553850889206
Innsbruck-Land,Völs,2020,8,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,9,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,10,0.05289553850889206
Schwaz,Eben am Achensee,2020,11,0.05289553850889206
Schwaz,Hippach,2020,12,0.05289553850889206
Schwaz,Gerlosberg,2020,13,0.05289553850889206
Kufstein,Langkampfen,2020,14,0.05289553850889206
Kufstein,Mariastein,2020,15,0.05289553850889206
Lienz,Sillian,2020,16,0.05289553850889206
Lienz,Anras,2020,17,0.05289553850889206
Kitzbühel,Brixen im Thale,2020,7,0.05289553850889206
Imst,Obsteig,2020,8,0.05289553850889206
Imst,Stams,2020,9,0.05289553850889206
Reutte,Reutte,2020,5,0.05289553850889206
Reutte,Zöblen,2020,6,0.05289553850889206
Landeck,Grins,2020,10,0.05289553850889206
Landeck,Faggen,2020,11,0.05289553850889206
Innsbruck-Land,Navis,2020,12,0.05289553850889206
Innsbruck-Land,Völs,2020,13,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,14,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,15,0.05289553850889206
Schwaz,Eben am Achensee,2020,16,0.05289553850889206
Schwaz,Hippach,2020,17,0.05289553850889206
Schwaz,Rohrberg,2020,1,0.05289553850889206
Kufstein,Alpbach,2020,2,0.05289553850889206
Kufstein,Angerberg,2020,3,0.05289553850889206
Lienz,Virgen,2020,4,0.05289553850889206
Lienz,Gaimberg,2020,5,0.05289553850889206
Kitzbühel,Brixen im Thale,2020,4,0.05289553850889206
Imst,Obsteig,2020,5,0.05289553850889206
Imst,Stams,2020,6,0.05289553850889206
Reutte,Reutte,2020,2,0.05289553850889206
Reutte,Zöblen,2020,3,0.05289553850889206
Landeck,Grins,2020,7,0.05289553850889206
Landeck,Faggen,2020,8,0.05289553850889206
Innsbruck-Land,Navis,2020,9,0.05289553850889206
Innsbruck-Land,Völs,2020,10,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,11,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,12,0.05289553850889206
Schwaz,Eben am Achensee,2020,13,0.05289553850889206
Schwaz,Hippach,2020,14,0.05289553850889206
Schwaz,Gerlosberg,2020,15,0.05289553850889206
Kufstein,Langkampfen,2020,16,0.05289553850889206
Kufstein,Mariastein,2020,17,0.05289553850889206
Lienz,Virgen,2020,1,0.05289553850889206
Lienz,Gaimberg,2020,2,0.05289553850889206
Kitzbühel,Brixen im Thale,2020,5,0.05289553850889206
Imst,Obsteig,2020,6,0.05289553850889206
Imst,Stams,2020,7,0.05289553850889206
Reutte,Reutte,2020,3,0.05289553850889206
Reutte,Zöblen,2020,4,0.05289553850889206
Landeck,Grins,2020,8,0.05289553850889206
Landeck,Faggen,2020,9,0.05289553850889206
Innsbruck-Land,Navis,2020,10,0.05289553850889206
Innsbruck-Land,Völs,2020,11,0.05289553850889206
Innsbruck-Land,Neustift im Stubaital,2020,12,0.05289553850889206
Innsbruck-Land,Pfaffenhofen,2020,13,0.05289553850889206
Schwaz,Eben am Achensee,2020,14,0.05289553850889206
Schwaz,Hippach,2020,15,0.05289553850889206
