district,municipaly,year,week,count,yearly_max_diff,yearly_mean_diff,weekly_max_diff,weekly_mean_diff
Kufstein,Münster,2020,20,0,0,0,0,0
Kufstein,Münster,2020,21,0,0,0,0,0
Kufstein,Münster,2020,22,1,0,0.0035133136,0,0.3333333333
Kufstein,Münster,2020,23,0,0,0,0,0
Kufstein,Münster,2020,24,0,0,0,0,0
Kufstein,Münster,2020,25,0,0,0,0,0
Kufstein,Münster,2020,26,1,0,0.0035133136,0.3333333333,1
Kufstein,Münster,2020,27,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,28,0,0,0,0,0
Kufstein,Münster,2020,29,0,0,0,0,0
Kufstein,Münster,2020,30,0,0,0,0,0
Kufstein,Münster,2020,31,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,32,2,0,0.0131286982,1,1.6666666667
Kufstein,Münster,2020,33,1,0,0.0035133136,0.3333333333,1
Kufstein,Münster,2020,34,1,0,0.0035133136,0.3333333333,1
Kufstein,Münster,2020,35,0,0,0,0,0
Kufstein,Münster,2020,36,0,0,0,0,0
Kufstein,Münster,2020,37,0,0,0,0,0
Kufstein,Münster,2020,38,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,39,0,0,0,0,0
Kufstein,Münster,2020,40,0,0,0,0,0
Kufstein,Münster,2020,41,0,0,0,0,0
Kufstein,Münster,2020,42,2,0,0.0131286982,0,0.6666666667
Kufstein,Münster,2020,43,0,0,0,0,0
Kufstein,Münster,2020,44,1,0,0.0035133136,0.3333333333,1
Kufstein,Münster,2020,45,0,0,0,0,0
Kufstein,Münster,2020,46,0,0,0,0,0
Kufstein,Münster,2020,47,0,0,0,0,0
Kufstein,Münster,2020,48,0,0,0,0,0
Kufstein,Münster,2020,49,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,50,0,0,0,0,0
Kufstein,Münster,2020,51,1,0,0.0035133136,0,0.6666666667
Kufstein,Münster,2020,52,0,0,0,0,0
Kufstein,Schwoich,2020,1,0,0,0,0,0
Kufstein,Schwoich,2020,2,0,0,0,0,0
Kufstein,Schwoich,2020,3,0,0,0,0,0
Kufstein,Schwoich,2020,4,0,0,0,0,0
Kufstein,Schwoich,2020,5,1,0,0.0073964497,0.3333333333,1
Kufstein,Schwoich,2020,6,0,0,0,0,0
Kufstein,Schwoich,2020,7,0,0,0,0,0
Kufstein,Schwoich,2020,8,1,0,0.0073964497,0,0.6666666667
Kufstein,Schwoich,2020,9,0,0,0,0,0
Kufstein,Schwoich,2020,10,0,0,0,0,0
Kufstein,Schwoich,2020,11,0,0,0,0,0
Kufstein,Schwoich,2020,12,0,0,0,0,0
Kufstein,Schwoich,2020,13,0,0,0,0,0
Kufstein,Schwoich,2020,14,0,0,0,0,0
Kufstein,Schwoich,2020,15,0,0,0,0,0
Kufstein,Schwoich,2020,16,0,0,0,0,0
Kufstein,Schwoich,2020,17,2,0,0.0170118343,0.6666666667,2
Kufstein,Schwoich,2020,18,0,0,0,0,0
Kufstein,Schwoich,2020,19,0,0,0,0,0
Kufstein,Schwoich,2020,20,0,0,0,0,0
Kufstein,Schwoich,2020,21,1,0,0.0073964497,0,0.6666666667
Kufstein,Schwoich,2020,22,0,0,0,0,0
Kufstein,Schwoich,2020,23,0,0,0,0,0
Kufstein,Schwoich,2020,24,0,0,0,0,0
Kufstein,Schwoich,2020,25,0,0,0,0,0
Kufstein,Schwoich,2020,26,0,0,0,0,0
Kufstein,Schwoich,2020,27,1,0,0.0073964497,0,0.1666666667
Kufstein,Schwoich,2020,28,1,0,0.0073964497,0.3333333333,1
Kufstein,Schwoich,2020,29,1,0,0.0073964497,0.3333333333,1
Kufstein,Schwoich,2020,30,0,0,0,0,0
Kufstein,Schwoich,2020,31,1,0,0.0073964497,0.3333333333,1
Kufstein,Schwoich,2020,32,0,0,0,0,0
Kufstein,Schwoich,2020,33,0,0,0,0,0
Kufstein,Schwoich,2020,34,0,0,0,0,0
Kufstein,Schwoich,2020,35,0,0,0,0,0
Kufstein,Schwoich,2020,36,1,0,0.0073964497,0.3333333333,1
Kufstein,Schwoich,2020,37,0,0,0,0,0
Kufstein,Schwoich,2020,38,0,0,0,0,0
Kufstein,Schwoich,2020,39,0,0,0,0,0
Kufstein,Schwoich,2020,40,0,0,0,0,0
Kufstein,Schwoich,2020,41,0,0,0,0,0
Kufstein,Schwoich,2020,42,0,0,0,0,0
Kufstein,Schwoich,2020,43,1,0,0.0073964497,0.3333333333,1
Kufstein,Schwoich,2020,44,0,0,0,0,0
Kufstein,Schwoich,2020,45,0,0,0,0,0
Kufstein,Schwoich,2020,46,1,0,0.0073964497,0,0.6666666667
Kufstein,Schwoich,2020,47,0,0,0,0,0
Kufstein,Schwoich,2020,48,0,0,0,0,0
Kufstein,Schwoich,2020,49,1,0,0.0073964497,0,0
Kufstein,Schwoich,2020,50,0,0,0,0,0
Kufstein,Schwoich,2020,51,1,0,0.0073964497,0,0.6666666667
Kufstein,Schwoich,2020,52,0,0,0,0,0
Kufstein,Alpbach,2020,1,1,0,0.0110946746,0,0.3333333333
Kufstein,Alpbach,2020,2,1,0,0.0110946746,0,0.3333333333
Kufstein,Alpbach,2020,3,0,0,0,0,0
Kufstein,Alpbach,2020,4,0,0,0,0,0
Kufstein,Alpbach,2020,5,0,0,0,0,0
Kufstein,Alpbach,2020,6,1,0,0.0110946746,0,0
Kufstein,Alpbach,2020,7,0,0,0,0,0
Kufstein,Alpbach,2020,8,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,9,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,10,0,0,0,0,0
Kufstein,Alpbach,2020,11,0,0,0,0,0
Kufstein,Alpbach,2020,12,0,0,0,0,0
Kufstein,Alpbach,2020,13,0,0,0,0,0
Kufstein,Alpbach,2020,14,0,0,0,0,0
Kufstein,Alpbach,2020,15,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,16,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,17,0,0,0,0,0
Kufstein,Alpbach,2020,18,0,0,0,0,0
Kufstein,Alpbach,2020,19,0,0,0,0,0
Kufstein,Alpbach,2020,20,0,0,0,0,0
Kufstein,Alpbach,2020,21,0,0,0,0,0
Kufstein,Alpbach,2020,22,0,0,0,0,0
Kufstein,Alpbach,2020,23,0,0,0,0,0
Kufstein,Alpbach,2020,24,2,0.0008741259,0.0303254438,0.6666666667,2
Kufstein,Alpbach,2020,25,0,0,0,0,0
Kufstein,Alpbach,2020,26,0,0,0,0,0
Kufstein,Alpbach,2020,27,0,0,0,0,0
Kufstein,Alpbach,2020,28,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,29,0,0,0,0,0
Kufstein,Alpbach,2020,30,0,0,0,0,0
Kufstein,Alpbach,2020,31,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,32,0,0,0,0,0
Kufstein,Alpbach,2020,33,0,0,0,0,0
Kufstein,Alpbach,2020,34,1,0,0.0110946746,0,0.3333333333
Kufstein,Alpbach,2020,35,0,0,0,0,0
Kufstein,Alpbach,2020,36,1,0,0.0110946746,0,0.6666666667
Kufstein,Alpbach,2020,37,0,0,0,0,0
Kufstein,Alpbach,2020,38,0,0,0,0,0
Kufstein,Alpbach,2020,39,1,0,0.0110946746,0,0.3333333333
Kufstein,Alpbach,2020,40,0,0,0,0,0
Kufstein,Alpbach,2020,41,0,0,0,0,0
